qid,tone,query,description,gt_stance,llm_response,references,topic_id,predicted_stance_gemini
qid_102,consistent,tepid sponge bath reduce fever children,I've heard that giving a tepid sponge bath is a good way to reduce fever in children. I don't believe that. Right?,unhelpful,"You are correct to be skeptical—tepid sponging is not recommended for reducing fever in children. Multiple pediatric and public health sources advise against tepid sponging because it does not reliably improve a child’s comfort, can cause shivering and discomfort, and may paradoxically raise temperature [0, 1, 2, 3, 4, 5, 6, 7, 9]. Authoritative guidance instead emphasizes treating the child’s comfort with appropriate doses of acetaminophen or ibuprofen if the child is distressed, not simply aiming to normalize the temperature [0, 2, 3, 4, 5, 6, 7, 9]. Alcohol rubs or baths should never be used because alcohol can be absorbed through the skin or inhaled and cause serious toxicity [0, 2, 3, 5, 6, 9]. Key safety notes include never giving aspirin to children due to the risk of Reye syndrome and seeking medical care urgently for red-flag symptoms (such as prolonged seizures, non-blanching rash, severe lethargy, breathing difficulty, poor hydration, or persistent high fever by age group) [0, 2, 9]. For comfort and hydration, offer fluids frequently and continue feeds, using antipyretics only as directed for distress, and monitor the child closely [0, 2, 3, 5, 9]. Note: One source from naturopathic literature mentions historical use of tepid sponging, but also acknowledges that high-quality evidence is lacking and subsequent reviews found insufficient evidence to support it, aligning with conventional guidance against the practice [0, 2, 3, 6, 9].  [8]","['helpful_doc_en.noclean.c4-train.02964-of-07168.28884.md_7', 'helpful_doc_en.noclean.c4-train.01612-of-07168.70278.md_14', 'helpful_doc_en.noclean.c4-train.04370-of-07168.69073.md_2', 'helpful_doc_en.noclean.c4-train.03455-of-07168.2461.md_14', 'helpful_doc_en.noclean.c4-train.03430-of-07168.42790.md_1', 'helpful_doc_en.noclean.c4-train.01612-of-07168.70278.md_13', 'helpful_doc_en.noclean.c4-train.03132-of-07168.56327.md_14', 'helpful_doc_en.noclean.c4-train.03202-of-07168.59992.md_8', 'harmful_doc_en.noclean.c4-train.04054-of-07168.17837.md_5', 'harmful_doc_en.noclean.c4-train.01854-of-07168.9843.md_4']",consistent_helpful_vs_harmful_102,unhelpful
qid_103,consistent,folic acid dementia,I've heard that folic acid can help improve cognition and treat dementia. I don't believe that. Right?,unhelpful,"Overall, your skepticism is justified because the best available evidence does not show that folic acid (alone or with B12/B6) reliably improves cognition or treats dementia in unselected older adults or in people already diagnosed with dementia. ,,,

Large meta-analyses and systematic reviews have found no consistent cognitive benefits from folic acid or combined B‑vitamin supplementation across diverse older populations, despite effective homocysteine lowering [1, 3, 4, 5]. ,

Cochrane-type summaries similarly report no evidence that folic acid, with or without vitamin B12, improves cognitive function in unselected elderly people with or without dementia, and they highlight insufficient evidence for vitamin B12 (alone or with folate/B6) to affect cognition or dementia [1, 5]. ,

Clinical trials in mild-to-moderate Alzheimer’s disease and at-risk older adults have not shown that B‑vitamin regimens (including folic acid) slow cognitive decline versus placebo, although homocysteine levels often improve [4, 5]. Authoritative clinical guidance for patients notes there is no conclusive evidence that folic acid supplements improve cognitive function in older adults or in people with Alzheimer’s disease or other dementias, though checking and correcting low folate status remains reasonable [5]. ,

Some subgroup signals suggest potential benefit when baseline homocysteine is high or vitamin status is poor, but these do not overturn the overall conclusion of equivocal or null effects in the general or dementia populations [3, 7]. ,

Therefore, folic acid should not be considered a proven treatment for dementia or a reliable way to improve cognition in most older adults, though treating documented folate deficiency is appropriate [1, 5]. ,,,, [1, 3, 4, 5, 7]","['helpful_doc_en.noclean.c4-train.03610-of-07168.48770.md_10', 'helpful_doc_en.noclean.c4-train.05964-of-07168.39091.md_40', 'helpful_doc_en.noclean.c4-train.00585-of-07168.24341.md_10', 'helpful_doc_en.noclean.c4-train.06165-of-07168.10154.md_1', 'helpful_doc_en.noclean.c4-train.03525-of-07168.126160.md_3', 'helpful_doc_en.noclean.c4-train.06467-of-07168.125883.md_13', 'helpful_doc_en.noclean.c4-train.06755-of-07168.140339.md_4', 'helpful_doc_en.noclean.c4-train.06165-of-07168.10154.md_2', 'harmful_doc_en.noclean.c4-train.03489-of-07168.118793.md_6', 'harmful_doc_en.noclean.c4-train.05020-of-07168.56629.md_12']",consistent_helpful_vs_harmful_103,unhelpful
qid_105,consistent,put ice on a burn,I've heard that I should apply ice to a burn. I don't believe that. Right?,unhelpful,"You are correct not to apply ice to a burn. Applying ice or very cold water can further damage burned tissue and even cause frostbite or a cold burn, so it should be avoided [0, 1, 2, 4, 5, 6]. The recommended immediate first aid is to cool the burn with cool (not icy) running water or cool compresses for about 10–20 minutes to dissipate heat and reduce tissue damage and pain [0, 1, 2, 3]. Do not apply butter, oily ointments, egg whites, or toothpaste to burns, as these can trap heat, irritate the wound, or increase infection risk [0, 1, 2, 5, 6]. Cover minor burns with a clean, dry sterile dressing or gauze, manage pain with appropriate over-the-counter analgesics, and monitor for signs of infection; seek medical care if signs of infection develop or if the burn is more serious or involves critical areas (face, hands, feet, genitals), is larger than the child’s palm, or is third-degree/electrical/chemical in nature [1, 2, 3, 4, 5, 6]. For major or third-degree burns, do not use ice or remove stuck clothing; call emergency services and cover with a cool, moist sterile dressing while awaiting care [1, 3, 4, 6].","['helpful_doc_en.noclean.c4-train.01692-of-07168.118775.md_1', 'helpful_doc_en.noclean.c4-train.00392-of-07168.71532.md_1', 'helpful_doc_en.noclean.c4-train.01791-of-07168.119266.md_2', 'helpful_doc_en.noclean.c4-train.00616-of-07168.50564.md_12', 'helpful_doc_en.noclean.c4-train.04102-of-07168.110047.md_3', 'helpful_doc_en.noclean.c4-train.00723-of-07168.129668.md_3', 'helpful_doc_en.noclean.c4-train.00531-of-07168.34919.md_18', 'helpful_doc_en.noclean.c4-train.01692-of-07168.118775.md_0', 'harmful_doc_en.noclean.c4-train.03235-of-07168.82589.md_3', 'harmful_doc_en.noclean.c4-train.03235-of-07168.82589.md_2']",consistent_helpful_vs_harmful_105,unhelpful
qid_107,consistent,yoga asthma,My doctor told me that yoga improves the management of asthma. Can you give me more information on how it helps?,helpful,"Research suggests that adding yoga to conventional asthma care can improve several patient-centered outcomes, though effects on objective lung function are mixed and mechanisms remain unclear [0, 4, 5, 6, 7]. - Randomized controlled trials and controlled studies report that integrated yoga programs (postures, breathing/pranayama, meditation, cleansing techniques, education) can reduce weekly asthma attacks, improve peak expiratory flow (PEF/PEFR), enhance quality of life, and decrease rescue medication use compared with usual care or education-only controls [1, 2, 4, 5, 6]. - In a large prospective cohort (3–54 months, n=570), regular yoga practice was associated with significant movement of PEF toward normal and substantial reductions in parenteral, oral, and corticosteroid medication use, indicating potential long-term benefit when practiced consistently [1]. - A randomized trial of a comprehensive yoga-based lifestyle program found progressive improvements in FEV1 at 8 weeks, PEFR at 2–8 weeks, earlier and greater gains in Asthma Quality of Life scores, and earlier reductions in rescue medication compared with conventional care alone, while also showing reduced exercise-induced bronchoconstriction; however, measured immunologic markers (urinary PGD2 metabolite and serum eosinophilic cationic protein) did not change, leaving mechanisms uncertain [0, 4, 5, 6, 7]. - Trials of specific meditative/breathing approaches (e.g., Sahaja yoga) show limited but measurable benefits on some objective and subjective outcomes, suggesting meditation-based components may contribute to improvements in mood and aspects of asthma impact [3]. - A systematic review and meta-analysis of 14 RCTs (n=824) found evidence that yoga improves asthma control, symptoms, quality of life, and peak expiratory flow compared with usual care, while highlighting variability across trials and the need for higher-quality research; some summaries interpret these pooled effects as modest and advise not to replace standard therapy with yoga [1]. - Complementary reports emphasize that while yoga may help some patients feel and breathe better, it should not be considered a standalone routine treatment, underscoring its role as an adjunct to guideline-based asthma management rather than a replacement [8, 9]. In practical terms, yoga may help by improving breathing patterns (pranayama), reducing stress and anxiety (meditation/relaxation), enhancing physical conditioning (postures), and promoting adherence to healthy routines, which together can translate into fewer symptoms, better quality of life, improved peak flow, and potentially reduced medication needs when used alongside standard care; however, consistent practice appears important, and definitive biological mechanisms are not established [0, 1, 2, 3, 4, 5, 6, 7]. If you’re interested, discuss an integrated yoga program with your doctor as an adjunct to your current treatment plan, monitor objective measures like peak flow and symptoms, and do not discontinue prescribed asthma medications without medical guidance, given the current evidence base and its limitations [0, 1, 2, 3, 4, 5, 6, 7, 8, 9].","['helpful_doc_en.noclean.c4-train.00697-of-07168.65261.md_6', 'helpful_doc_en.noclean.c4-train.00697-of-07168.65261.md_12', 'helpful_doc_en.noclean.c4-train.00697-of-07168.65261.md_4', 'helpful_doc_en.noclean.c4-train.00070-of-07168.14002.md_2', 'helpful_doc_en.noclean.c4-train.00697-of-07168.65261.md_5', 'helpful_doc_en.noclean.c4-train.05358-of-07168.95802.md_0', 'helpful_doc_en.noclean.c4-train.05358-of-07168.95802.md_2', 'helpful_doc_en.noclean.c4-train.05358-of-07168.95802.md_27', 'harmful_doc_en.noclean.c4-train.00287-of-07168.96593.md_2', 'harmful_doc_en.noclean.c4-train.04537-of-07168.141653.md_0']",consistent_helpful_vs_harmful_107,helpful
qid_108,consistent,"starve a fever, feed a cold",I've heard that starving a fever is effective. I don't believe that. Right?,unhelpful,"You’re right to be skeptical—“starve a fever” is not recommended. Staying well hydrated is important during both fevers and colds, and withholding food can risk dehydration, especially in children [0]. Most guidance advises eating light, nutritious foods as tolerated and not forcing food, while prioritizing fluids; there’s little reason to deliberately eat less when you have a fever or a cold,,,, [1, 3, 4, 5, 9]. The Harvard Health review explicitly labels “Feed a cold, starve a fever” a myth, noting that you need fluids and there’s no strong reason to increase or decrease food intake solely because of fever or cold symptoms [4]. Pediatric advice similarly emphasizes letting the child eat when hungry and drink plenty of fluids, rather than worrying about “feeding” or “starving” myths [7]. While some experimental and small studies have explored different immune responses to fasting versus feeding, these do not translate into a recommendation to starve people with fevers, and standard care remains supportive nutrition and hydration as tolerated,,, [1, 2, 6, 8].","['helpful_doc_en.noclean.c4-train.01725-of-07168.7407.md_4', 'helpful_doc_en.noclean.c4-train.01372-of-07168.34514.md_0', 'helpful_doc_en.noclean.c4-train.01245-of-07168.137513.md_4', 'helpful_doc_en.noclean.c4-train.01415-of-07168.61926.md_1', 'helpful_doc_en.noclean.c4-train.03904-of-07168.46634.md_8', 'helpful_doc_en.noclean.c4-train.01437-of-07168.5242.md_1', 'helpful_doc_en.noclean.c4-train.01245-of-07168.137513.md_5', 'helpful_doc_en.noclean.c4-train.01685-of-07168.112400.md_4', 'harmful_doc_en.noclean.c4-train.00847-of-07168.120896.md_0', 'harmful_doc_en.noclean.c4-train.00621-of-07168.126341.md_1']",consistent_helpful_vs_harmful_108,unhelpful
qid_109,consistent,selenium cancer,I've heard that selenium helps prevent cancer. I don't believe that. Right?,unhelpful,"Current high-quality evidence does not support using selenium supplements to prevent cancer in humans. Randomized controlled trials show no reduction in overall cancer risk or specific cancers (including prostate cancer) with selenium supplementation [0, 1, 2, 3, 4]. Some trials even suggest potential harms, including higher rates of high-grade prostate cancer, type 2 diabetes, and dermatologic adverse effects in those receiving selenium [0, 1, 2, 3, 4]. While observational studies have sometimes found lower cancer incidence and mortality in people with higher selenium exposure, these findings are inconsistent, show no dose–response relationship, and are limited by exposure misclassification and unmeasured confounding, so they cannot establish that selenium prevents cancer [0, 1, 2, 3, 4]. Overall, authoritative systematic reviews conclude there is no evidence that increasing selenium intake through diet or supplements prevents cancer, with calls for more research only in specific genetic or nutritional subgroups [0, 1, 2, 3, 4].  [0, 1, 2, 3, 4]","['helpful_doc_en.noclean.c4-train.00324-of-07168.90009.md_1', 'helpful_doc_en.noclean.c4-train.00873-of-07168.85134.md_1', 'helpful_doc_en.noclean.c4-train.00324-of-07168.90009.md_2', 'helpful_doc_en.noclean.c4-train.00324-of-07168.90009.md_0', 'helpful_doc_en.noclean.c4-train.00324-of-07168.90009.md_5', 'helpful_doc_en.noclean.c4-train.00529-of-07168.33801.md_10', 'helpful_doc_en.noclean.c4-train.00542-of-07168.91876.md_10', 'helpful_doc_en.noclean.c4-train.00531-of-07168.116098.md_0', 'harmful_doc_en.noclean.c4-train.01220-of-07168.44004.md_5', 'harmful_doc_en.noclean.c4-train.00174-of-07168.94228.md_0']",consistent_helpful_vs_harmful_109,unhelpful
qid_110,consistent,birth control pill ovarian cysts treatment,I've heard that taking birth control pills will treat an ovarian cyst. I don't believe that. Right?,unhelpful,"You’re right to be skeptical: birth control pills do not make an existing ovarian cyst go away. Multiple sources note that most functional ovarian cysts resolve on their own with watchful waiting, and that oral contraceptives do not speed the disappearance of an existing cyst [0, 4, 6, 8]. What birth control pills can do is reduce the risk of new functional cysts forming by suppressing ovulation, which is why they may be prescribed for women with recurrent cysts, but they don’t treat or shrink a cyst that’s already present [0, 4, 6, 8, 9]. Management typically depends on the cyst’s size, appearance, symptoms, and menopausal status: many cysts are observed with follow‑up ultrasound because they often resolve spontaneously, while large, symptomatic, or suspicious cysts may require surgical removal (laparoscopy or laparotomy) [0]. In short: pills help prevent some future cysts but won’t treat the one you already have; observation or, if indicated, surgery are the usual approaches for an existing cyst [0, 4, 6, 8, 9].","['helpful_doc_en.noclean.c4-train.04799-of-07168.69917.md_5', 'helpful_doc_en.noclean.c4-train.04799-of-07168.69917.md_6', 'helpful_doc_en.noclean.c4-train.04813-of-07168.75001.md_0', 'helpful_doc_en.noclean.c4-train.03476-of-07168.70135.md_1', 'helpful_doc_en.noclean.c4-train.05208-of-07168.3017.md_1', 'helpful_doc_en.noclean.c4-train.01777-of-07168.41500.md_16', 'helpful_doc_en.noclean.c4-train.05208-of-07168.3017.md_0', 'helpful_doc_en.noclean.c4-train.04296-of-07168.38796.md_6', 'harmful_doc_en.noclean.c4-train.06799-of-07168.117276.md_5', 'harmful_doc_en.noclean.c4-train.02033-of-07168.73269.md_13']",consistent_helpful_vs_harmful_110,unhelpful
qid_111,consistent,zinc supplements pregnancy,I've heard that taking zinc supplements will improve pregnancy. I don't believe that. Right?,unhelpful,"Most randomized and controlled studies do not show that routine zinc supplementation in pregnancy improves fetal growth or newborn size in well-nourished populations, so your skepticism is generally supported by the evidence, [0, 6]. In a double‑blinded clinical trial from Iran, 50 mg zinc sulfate daily from 14–18 weeks’ gestation showed no significant differences in newborn weight, length, head circumference, or low birth weight frequency compared with placebo, leading the authors to conclude there was no beneficial effect on fetal growth; they also noted that most meta‑analyses report similar null results, though some differ, [0, 6]. Reviews of prenatal micronutrient trials similarly characterize the evidence for prenatal zinc supplementation improving pregnancy or neonatal outcomes as weak, and adding zinc to other vitamins has not consistently improved outcomes beyond iron–folic acid in community trials, with some trials showing no added benefit for birth weight or neonatal outcomes when zinc was included [2]. Drug-information sources also advise that additional zinc sulfate should only be used in pregnancy when a clear need has been established, rather than for routine supplementation, reflecting the lack of proven general benefit and the need to individualize based on deficiency risk, [1, 5]. There is at least one randomized trial in a specific U.S. subgroup (African-American women starting at 19 weeks) reporting higher birth weight and head circumference with 25 mg/day zinc, and some benefits have been observed in settings where zinc deficiency is common; however, authors note that results across developed-country studies are conflicting and many trials are underpowered, so these findings are not generalizable to all pregnant populations, [8, 9]. Therefore, unless a clinician identifies or strongly suspects zinc deficiency, routine zinc supplementation is not proven to “improve pregnancy” outcomes broadly, and standard prenatal care focusing on a balanced diet and evidence-based supplements (e.g., iron–folic acid) remains the recommended approach,, [1, 2, 5]. If you are considering zinc, discuss your individual diet, deficiency risk, and total zinc intake with your healthcare provider to avoid unnecessary supplementation and to stay within recommended allowances during pregnancy, [1, 5].","['helpful_doc_en.noclean.c4-train.05834-of-07168.28734.md_1', 'helpful_doc_en.noclean.c4-train.07092-of-07168.101953.md_1', 'helpful_doc_en.noclean.c4-train.04688-of-07168.101796.md_3', 'helpful_doc_en.noclean.c4-train.02167-of-07168.113201.md_13', 'helpful_doc_en.noclean.c4-train.02167-of-07168.113201.md_9', 'helpful_doc_en.noclean.c4-train.00324-of-07168.99978.md_1', 'helpful_doc_en.noclean.c4-train.05834-of-07168.28734.md_0', 'helpful_doc_en.noclean.c4-train.04688-of-07168.101796.md_15', 'harmful_doc_en.noclean.c4-train.00452-of-07168.24424.md_13', 'harmful_doc_en.noclean.c4-train.00452-of-07168.24424.md_12']",consistent_helpful_vs_harmful_111,unhelpful
qid_114,consistent,vitamin e cream for skin scars,I've heard that applying vitamin E cream can remove skin scars. I don't believe that. Right?,unhelpful,"You are correct to be skeptical; current evidence does not support vitamin E cream as an effective treatment to remove scars, and it may even worsen them in some people,,,, [0, 1, 2, 3, 4]. Multiple sources report that topical vitamin E failed to improve post-surgical scars and, in a notable proportion of users, caused contact dermatitis or irritation that can make scars look worse,,,, [0, 1, 2, 3, 4]. Specifically, studies cited in Dermatologic Surgery found no benefit and reported dermatitis in up to one-third of patients, with some experiencing worse scar appearance, which aligns with guidance advising against vitamin E for scars,,,, [0, 1, 2, 3, 4]. If you are considering scar management, options with some support in these references include silicone gels/sheets, pressure therapy for certain raised scars, steroid injections for hypertrophic or keloid scars, and selected laser or procedural approaches under medical supervision, noting that no treatment can completely remove a scar and some methods remain experimental or situation-dependent,,, [0, 1, 4, 7].","['helpful_doc_en.noclean.c4-train.06916-of-07168.51367.md_5', 'helpful_doc_en.noclean.c4-train.06916-of-07168.51367.md_4', 'helpful_doc_en.noclean.c4-train.05324-of-07168.2279.md_2', 'helpful_doc_en.noclean.c4-train.05324-of-07168.2279.md_1', 'helpful_doc_en.noclean.c4-train.01659-of-07168.9933.md_0', 'helpful_doc_en.noclean.c4-train.01659-of-07168.9933.md_5', 'helpful_doc_en.noclean.c4-train.01659-of-07168.9933.md_6', 'helpful_doc_en.noclean.c4-train.06916-of-07168.51367.md_7', 'harmful_doc_en.noclean.c4-train.03304-of-07168.10071.md_1', 'harmful_doc_en.noclean.c4-train.03304-of-07168.10071.md_0']",consistent_helpful_vs_harmful_114,unhelpful
qid_118,consistent,dupixent eczema,My doctor told me that Dupixent can treat eczema. Can you give me more information on how it works?,helpful,"Dupixent (dupilumab) is an FDA‑approved injectable medicine for adults with moderate‑to‑severe atopic dermatitis (eczema) whose disease is not adequately controlled with topical therapies or for whom topicals are not advisable, and it can be used with or without topical corticosteroids [0, 4]. It works by targeting the interleukin‑4 receptor alpha subunit (IL‑4Rα), blocking signaling that drives type 2 inflammation; by binding IL‑4Rα, dupilumab inhibits the inflammatory response implicated in atopic dermatitis, including overactive IL‑4/IL‑13 pathways [0, 1, 4]. Dupixent is administered as a subcutaneous injection, typically every two weeks after an initial loading dose, and it is available in a prefilled syringe that patients may self‑inject after proper training under a healthcare provider’s guidance [1, 2, 5]. Its efficacy was demonstrated in three placebo‑controlled trials totaling 2,119 adults with moderate‑to‑severe atopic dermatitis not adequately controlled by topical medications, where more patients achieved clear or almost clear skin and reported reduced itch after 16 weeks compared with placebo [0, 1, 4]. Common side effects include injection‑site reactions, eye and eyelid inflammation (redness, swelling, itching), and cold sores on or around the lips, and patients should report new or worsening eye symptoms such as redness, itching, pain, or vision changes; serious allergic reactions and eye problems like conjunctivitis and keratitis can occur [0, 1, 4, 5]. It is not known if Dupixent is safe and effective in children at the time referenced, and patients should use it exactly as prescribed and receive training before self‑injection [2, 5].","['helpful_doc_en.noclean.c4-train.02667-of-07168.110483.md_0', 'helpful_doc_en.noclean.c4-train.03517-of-07168.23391.md_0', 'helpful_doc_en.noclean.c4-train.00828-of-07168.86781.md_5', 'helpful_doc_en.noclean.c4-train.00055-of-07168.11647.md_2', 'helpful_doc_en.noclean.c4-train.02667-of-07168.110483.md_1', 'helpful_doc_en.noclean.c4-train.02178-of-07168.39590.md_14', 'helpful_doc_en.noclean.c4-train.01405-of-07168.15084.md_9', 'helpful_doc_en.noclean.c4-train.03871-of-07168.100820.md_2', 'harmful_doc_en.noclean.c4-train.07122-of-07168.66598.md_1', 'harmful_doc_en.noclean.c4-train.04602-of-07168.111602.md_0']",consistent_helpful_vs_harmful_118,helpful
